siteverkey_cat2,num_previous_months_binned,months,chosen_subs_length,subscription_summary_no_market,is_in_training
MUT,0,1,1,ssc-MUT_ac-0_m-1_ccsl-1,FALSE
MUT,0,1,-1,ssc-MUT_ac-0_m-1_ccsl--1,FALSE
MUT,0,1,12,ssc-MUT_ac-0_m-1_ccsl-12,FALSE
MUT,0,1,24,ssc-MUT_ac-0_m-1_ccsl-24,FALSE
MUT,0,1,3,ssc-MUT_ac-0_m-1_ccsl-3,FALSE
MUT,0,1,gen,ssc-MUT_ac-0_m-1_ccsl-gen,FALSE
MUT,0,3,1,ssc-MUT_ac-0_m-3_ccsl-1,FALSE
MUT,0,3,-1,ssc-MUT_ac-0_m-3_ccsl--1,FALSE
MUT,0,3,12,ssc-MUT_ac-0_m-3_ccsl-12,FALSE
MUT,0,3,24,ssc-MUT_ac-0_m-3_ccsl-24,FALSE
MUT,0,3,3,ssc-MUT_ac-0_m-3_ccsl-3,FALSE
MUT,0,3,gen,ssc-MUT_ac-0_m-3_ccsl-gen,FALSE
MUT,0,12,1,ssc-MUT_ac-0_m-12_ccsl-1,FALSE
MUT,0,12,-1,ssc-MUT_ac-0_m-12_ccsl--1,FALSE
MUT,0,12,12,ssc-MUT_ac-0_m-12_ccsl-12,FALSE
MUT,0,12,24,ssc-MUT_ac-0_m-12_ccsl-24,FALSE
MUT,0,12,3,ssc-MUT_ac-0_m-12_ccsl-3,FALSE
MUT,0,12,gen,ssc-MUT_ac-0_m-12_ccsl-gen,FALSE
MUT,0,24,1,ssc-MUT_ac-0_m-24_ccsl-1,FALSE
MUT,0,24,-1,ssc-MUT_ac-0_m-24_ccsl--1,FALSE
MUT,0,24,12,ssc-MUT_ac-0_m-24_ccsl-12,FALSE
MUT,0,24,24,ssc-MUT_ac-0_m-24_ccsl-24,FALSE
MUT,0,24,3,ssc-MUT_ac-0_m-24_ccsl-3,FALSE
MUT,0,24,gen,ssc-MUT_ac-0_m-24_ccsl-gen,FALSE
MUT,1,1,1,ssc-MUT_ac-1_m-1_ccsl-1,FALSE
